bib_id,title,note_num,note,type,source
17517427,"For the information of emigrants arriving at New York, and who are desirous of settling in Canada.",1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517427,"For the information of emigrants arriving at New York, and who are desirous of settling in Canada.",2,"This document is part of CO 384/35 from The National Archives, UK.",,daniel
17517427,"For the information of emigrants arriving at New York, and who are desirous of settling in Canada.",3,Title from publisher's website.,,daniel
17517428,Public notice.,1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517428,Public notice.,2,"This document is part of CO 384/35 from The National Archives, UK.",,daniel
17517428,Public notice.,3,Title from publisher's website.,,daniel
17517429,Official caution to emigrants [printed in the Times].,1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517429,Official caution to emigrants [printed in the Times].,2,"This document is part of CO 384/35 from The National Archives, UK.",,daniel
17517429,Official caution to emigrants [printed in the Times].,3,Title from publisher's website.,,daniel
17517430,"Refutation of the false and injurious charges contained in a letter published in the London and provincial papers, and signed ""Robert Low, Lt. R.N., ""His Majesty's Agent,"" &c. addressed to ""Lieutenant Lynch, ""Government Agent for Emigration,"" Limerick / by Edward Walkinshaw.",1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517430,"Refutation of the false and injurious charges contained in a letter published in the London and provincial papers, and signed ""Robert Low, Lt. R.N., ""His Majesty's Agent,"" &c. addressed to ""Lieutenant Lynch, ""Government Agent for Emigration,"" Limerick / by Edward Walkinshaw.",2,"This document is part of CO 384/35 from The National Archives, UK.",,daniel
17517430,"Refutation of the false and injurious charges contained in a letter published in the London and provincial papers, and signed ""Robert Low, Lt. R.N., ""His Majesty's Agent,"" &c. addressed to ""Lieutenant Lynch, ""Government Agent for Emigration,"" Limerick / by Edward Walkinshaw.",3,Title from publisher's website.,,daniel
17517431,To emigrants and shippers.,1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517431,To emigrants and shippers.,2,"This document is part of CO 384/35 from The National Archives, UK.",,daniel
17517431,To emigrants and shippers.,3,Title from publisher's website.,,daniel
17517432,"Account of the present situation of the female emigrants from Cork to Sydney, New South Wales per the ship Red Rover, in the year 1832.",1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517432,"Account of the present situation of the female emigrants from Cork to Sydney, New South Wales per the ship Red Rover, in the year 1832.",2,"This document is part of CO 384/35 from The National Archives, UK.",,daniel
17517432,"Account of the present situation of the female emigrants from Cork to Sydney, New South Wales per the ship Red Rover, in the year 1832.",3,Title from publisher's website.,,daniel
17517433,"Testimonials in favour of Captain James Fraser, H. P. 78th Regiment.",1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517433,"Testimonials in favour of Captain James Fraser, H. P. 78th Regiment.",2,"This document is part of CO 384/57 from The National Archives, UK.",,daniel
17517433,"Testimonials in favour of Captain James Fraser, H. P. 78th Regiment.",3,Title from publisher's website.,,daniel
17517434,Western Australia : correspondence respecting emigration.,1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517434,Western Australia : correspondence respecting emigration.,2,"This document is part of CO 384/57 from The National Archives, UK.",,daniel
17517434,Western Australia : correspondence respecting emigration.,3,Title from publisher's website.,,daniel
17517435,The Australian Emigration Association.,1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517435,The Australian Emigration Association.,2,"This document is part of CO 384/57 from The National Archives, UK.",,daniel
17517435,The Australian Emigration Association.,3,Title from publisher's website.,,daniel
17517436,Australia Economic Emigration Association.,1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517436,Australia Economic Emigration Association.,2,"This document is part of CO 384/57 from The National Archives, UK.",,daniel
17517436,Australia Economic Emigration Association.,3,Title from publisher's website.,,daniel
17517437,"Testimonials of Mr. Henchy's conduct and zeal, as managing director of the Incorporated Colonial Association of Ireland, which office he resigned lately, in consequence of the transfer of the board to London.",1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517437,"Testimonials of Mr. Henchy's conduct and zeal, as managing director of the Incorporated Colonial Association of Ireland, which office he resigned lately, in consequence of the transfer of the board to London.",2,"This document is part of CO 384/83 from The National Archives, UK.",,daniel
17517437,"Testimonials of Mr. Henchy's conduct and zeal, as managing director of the Incorporated Colonial Association of Ireland, which office he resigned lately, in consequence of the transfer of the board to London.",3,Title from publisher's website.,,daniel
17517438,"Colonial Land and Emigration Commission : ninth general report of the Colonial Land and Emigration Commissioners, 1849.",1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
17517438,"Colonial Land and Emigration Commission : ninth general report of the Colonial Land and Emigration Commissioners, 1849.",2,"This document is part of CO 384/84 from The National Archives, UK.",,daniel
17517438,"Colonial Land and Emigration Commission : ninth general report of the Colonial Land and Emigration Commissioners, 1849.",3,Title from publisher's website.,,daniel
17517439,"Light's patent life-boat, buoys, belt, and general marine buoyancy company.",1,From collection: War and Colonial Department and Colonial Office: Emigration Original Correspondence.,,daniel
